49100210;Rua A, Bloco 2, apt 202;102;Brasil;Sergipe;São Cristóvão
49110210;Avenida Tancredo Neves, Edf Futuro, apt 1001;543;Brasil;Sergipe;Aracaju
49120210;Rua Professor B, Edf C, apt 303;4002;Brasil;Sergipe;Aracaju
49130210;Rua B, IPA, Bl 13, apt 301;462;;Pernambuco;Camaragibe
49140210;Praça Principal, Casa;50;;;Itabi
49150210;Avenida Doutor Chico, Edf Central, apt 1002;954;Brasil;Paraíba;João Pessoa
49160210;Rua C, Bloco 2, apt 202;102;Brasil;Sergipe;São Cristóvão
49170210;Rua D, Bloco 3, apt 102;102;Brasil;Sergipe;Barra dos Coqueiros
49180210;Rua E, Bloco 4, apt 402;102;Brasil;Sergipe;Itabaiana
49190210;Rua F, Bloco 5, apt 502;102;Brasil;Sergipe;Lagarto
